[13:48.000 --> 14:05.300]  Great. How's everything? How's studies going on? I think the recent topic has been more
[01:27:22.260 --> 01:27:25.260]  This one matches up to this one here.
[01:27:25.260 --> 01:27:28.260]  And then this one will probably about that one there.
[01:27:28.260 --> 01:27:31.260]  So that's the samples that I've taken.
[01:27:31.260 --> 01:27:34.260]  But if I draw a line between these dots, if I join the dots up,
[01:27:34.260 --> 01:27:38.260]  you'll see I haven't really got a very accurate representation of my sound wave.
[01:27:38.260 --> 01:27:43.260]  Every time that line is not matching what's on my sound wave,
[01:27:43.260 --> 01:27:44.260]  you're going to hear it.
[01:27:44.260 --> 01:27:46.260]  Your ears will pick up that it's not exact.
[01:27:46.260 --> 01:27:47.260]  Okay.
[01:27:47.260 --> 01:27:50.260]  So that's what we're going to do with to start with going to take this sound wave.
[01:27:50.260 --> 01:27:52.260]  I'm going to just save it for a little bit later.
[01:27:52.260 --> 01:27:55.260]  And I'm going to show you how we can get a slightly more accurate sound wave.
[01:27:55.260 --> 01:27:59.260]  And the first thing that I can do is increase the sampling rate.
[01:27:59.260 --> 01:28:02.260]  So instead of taking samples every second, maybe I change it.
[01:28:02.260 --> 01:28:05.260]  So I'm taking samples every half second.
[01:28:05.260 --> 01:28:06.260]  So let's do the dots for that.
[01:28:06.260 --> 01:28:08.260]  I'm still restricted with my bit rate here.
[01:28:08.260 --> 01:28:13.260]  So I still have to match up to one of these four different options along the left hand side.
[01:28:13.260 --> 01:28:14.260]  But let's see how we do.
[01:28:14.260 --> 01:28:16.260]  So I'll speed this up a bit so you don't have to hang around.
[01:28:16.260 --> 01:28:17.260]  Here we go.
[01:28:17.260 --> 01:28:19.260]  And let's join these dots up.
[01:28:19.260 --> 01:28:23.260]  And as you can see, I'm still fair way off my sound wave here.
[01:28:23.260 --> 01:28:27.260]  But I'm probably got a better representation of the sound than I did originally.
[01:28:27.260 --> 01:28:29.260]  So compare these two here.
[01:28:29.260 --> 01:28:30.260]  I'm doing a little bit better.
[01:28:30.260 --> 01:28:35.260]  So by increasing the sampling rate, I've got a slightly better representation of my sound.
[01:28:35.260 --> 01:28:38.260]  The other thing that I can do is increase the bit rate.
[01:28:38.260 --> 01:28:44.260]  So I can give myself more options to choose from when I'm recording the amplitude of the sound.
[01:28:44.260 --> 01:28:49.260]  So let's do this once more with a higher bit rate and sampling rate and see if we get any closer.
[01:28:49.260 --> 01:28:51.260]  Let's join up these dots.
[01:28:51.260 --> 01:28:52.260]  Whoops, forgot one.
[01:28:52.260 --> 01:28:54.260]  Let's do that one there probably.
[01:28:54.260 --> 01:28:56.260]  So again, it's not perfect.
[01:28:56.260 --> 01:28:57.260]  It never is going to be.
[01:28:57.260 --> 01:28:59.260]  It's never going to be as good as analog sound.
[01:28:59.260 --> 01:29:02.260]  But we're much closer to the original sound wave.
[01:29:02.260 --> 01:29:08.260]  If we compare this one to the original one with a low with a low bit rate and a low sampling rate.
[01:29:08.260 --> 01:29:13.260]  To increasing our sampling rate and then eventually increasing our bit rate as well.
[01:29:13.260 --> 01:29:14.260]  We get much closer to it.
[01:29:14.260 --> 01:29:20.260]  So you might ask, well, why don't we just have the biggest possible sampling rate and bit rate.
[01:29:20.260 --> 01:29:25.260]  It's not as simple as that because every time we increase the bit rate or the sampling rate,
[01:29:25.260 --> 01:29:27.260]  it increases the file size as well.
[01:29:27.260 --> 01:29:34.260]  So the trade off for quality if we ever want higher quality for sound is that you're always going to end up with a higher file size too.
[01:29:34.260 --> 01:29:37.260]  And that sampling of sound.
[01:29:37.260 --> 01:29:40.260]  If you found that video useful.
[01:29:40.260 --> 01:29:45.260]  I think that's an interesting video which actually clarifies the concept of sound waves.
[01:29:45.260 --> 01:29:49.260]  As you can see that the when we record some sound, it never goes in the digital format.
[01:29:49.260 --> 01:29:53.260]  It goes in the form of many different curves with different intensity.
[01:29:53.260 --> 01:30:00.260]  And then depending on how many bits you are recording in the digital format out of that curve,
[01:30:00.260 --> 01:30:08.260]  depending on how frequently you want to capture that at a difference of 0.1 seconds or milliseconds or whatever.
[01:30:08.260 --> 01:30:13.260]  The more number of sampling rates, the higher will be the size of the sound.
[01:30:13.260 --> 01:30:16.260]  But it will be more closer to the curve, right?
[01:30:16.260 --> 01:30:22.260]  In the very first example, you saw that the recording of bits was at one second sampling.
[01:30:22.260 --> 01:30:29.260]  So even though it was matching the curve, but then it was not accurately aligning with the intensity.
[01:30:29.260 --> 01:30:34.260]  And as they dropped it to half the second, it was much more closer, but then the size would be doubled.
[01:30:34.260 --> 01:30:37.260]  And if you make it a quarter second, then obviously more bits recording.
[01:30:37.260 --> 01:30:40.260]  So that will be four times more than the original.
[01:30:40.260 --> 01:30:45.260]  So it largely depends on your requirements as to how much of quality is important to you.
[01:30:45.260 --> 01:30:47.260]  More is the sampling rate.
[01:30:47.260 --> 01:30:49.260]  Higher will be the size of the image.
[01:30:49.260 --> 01:30:52.260]  And there's one more.
[01:30:52.260 --> 01:30:56.260]  There's a python program, which I found on one of the websites.
[01:30:56.260 --> 01:31:02.260]  And eventually you will writing programs like this to play around with these kind of problems.
[01:31:02.260 --> 01:31:12.260]  So you can see here we have two examples in the first one, which of which of these two do you think will produce better sound quality?
[01:31:12.260 --> 01:31:15.260]  15 ms or 40 ms.
[01:31:15.260 --> 01:31:23.260]  Sorry, sorry, sorry, sorry, sorry, and let me share once.
[01:31:23.260 --> 01:31:30.260]  Okay, so.
[01:31:30.260 --> 01:31:36.260]  If you look at these two images, which one do you think will produce a better sound quality?
[01:31:36.260 --> 01:31:40.260]  15 ms or 40 ms?
[01:31:40.260 --> 01:31:42.260]  15 milliseconds.
[01:31:42.260 --> 01:31:48.260]  That means we are recording the amplitude every 15 milliseconds.
[01:31:48.260 --> 01:31:54.260]  So that means the bit rate is higher in the first image as compared to the second image, right?
[01:31:54.260 --> 01:32:06.260]  So there's a very nice program which you can try in Python or rather in Java, where they have written a code to plot this graph based on the sample rate that you want to give.
[01:32:06.260 --> 01:32:13.260]  So if I run this code, it will ask me enter sampling interval between 10 to 16 ms.
[01:32:13.260 --> 01:32:15.260]  Let's first do 50.
[01:32:15.260 --> 01:32:21.260]  So that means the recording of sound wave is done every 50 milliseconds.
[01:32:21.260 --> 01:32:25.260]  Let's see what kind of output it plots.
[01:32:25.260 --> 01:32:31.260]  So this is the sound wave analog analog form and then it will plot.
[01:32:31.260 --> 01:32:33.260]  See, this is how it is recording.
[01:32:33.260 --> 01:32:40.260]  So every 50 milliseconds, it is plotting one point on the curve.
[01:32:40.260 --> 01:32:48.260]  Now this will give you a sound which will be close to what you are talking, but it will not be.
[01:32:48.260 --> 01:32:51.260]  You know, it will be little.
[01:32:51.260 --> 01:32:55.260]  I don't know how to say, but it will be little different than actual voice because it's recording.
[01:32:55.260 --> 01:33:02.260]  It's it's on the same amplitude that it is recording, but then the quality will be poor because it's recording at 50 millisecond each.
[01:33:02.260 --> 01:33:08.260]  So when you will play it in a faster way, it will try to replicate what you said, but in a very distorted manner.
[01:33:08.260 --> 01:33:14.260]  Now let's try and do it for let's say 10.
[01:33:14.260 --> 01:33:18.260]  Let's do it for 10 milliseconds.
[01:33:18.260 --> 01:33:27.260]  So now again, it is plotting that amplitude and that it will take the sample rates at every 10 millisecond and now you can see how close it is.
[01:33:27.260 --> 01:33:35.260]  So every crossover that you see in that pink line that is actually the recording of bit at that particular point.
[01:33:35.260 --> 01:33:38.260]  And you can see here that this is going much in alignment with the sound waves.
[01:33:38.260 --> 01:33:45.260]  So when you play this digital voice into analog back again on the speaker, it will build more realistic.
[01:33:45.260 --> 01:33:51.260]  So the more is the bit rate, more is the sampling rate better will be the quality of the sound.
[01:33:51.260 --> 01:33:57.260]  This is a good program when we'll start with the theme B, probably you can try creating something similar in Java.
[01:33:57.260 --> 01:34:02.260]  It's very easy to do in Python, but since we are doing Java, it may require little more efforts.
[01:34:03.260 --> 01:34:07.260]  So you may try this. I put this link into the document so you can play around with this.
[01:34:07.260 --> 01:34:09.260]  It's here simulation.
[01:34:09.260 --> 01:34:12.260]  So if you go into this, you can play around with this.
[01:34:12.260 --> 01:34:15.260]  So that's that's about the images.
[01:34:15.260 --> 01:34:17.260]  Then comes the video.
[01:34:17.260 --> 01:34:21.260]  So a video is nothing, but it's a series of many different.
[01:34:21.260 --> 01:34:27.260]  I have a question was the difference between bit rate and beat depth.
[01:34:27.260 --> 01:34:31.260]  Bit rate and beat depth.
[01:34:31.260 --> 01:34:36.260]  See, bit rate is the.
[01:34:36.260 --> 01:34:44.260]  Bit rate is the time interval at which you are recording the sampling, you know, positioning.
[01:34:44.260 --> 01:34:58.260]  For example, if you look at this curve in the image, the bit rate is actually every millisecond every 10 milliseconds that you are recording the wavelength of the sound.
[01:34:58.260 --> 01:35:05.260]  If I can put it that way, so first bit rate was recorded here, the next bit rate was recorded here, the third bit rate was recorded here.
[01:35:05.260 --> 01:35:15.260]  Now, when you convert this, so that means it's taking the pixel position of the bit at that particular point and converting that into binary value.
[01:35:15.260 --> 01:35:20.260]  Now, when you play that back, that bit rate will be converted from digital format to the analog format.
[01:35:20.260 --> 01:35:27.260]  So it will know exactly where on the curve of the line does it fall and it will decide is going up or it's going down.
[01:35:27.260 --> 01:35:37.260]  So depending on the conversion from bits into analog form, it will be able to produce exactly the same sound, right.
[01:35:37.260 --> 01:35:41.260]  Now, talking about this bit depth, I'll have to check.
[01:35:41.260 --> 01:35:45.260]  Let's go to the bit depth bits used per sample.
[01:35:45.260 --> 01:35:56.260]  So Martin, what do you see from here, the bit depth bits used per sample.
[01:35:56.260 --> 01:36:06.260]  So number of bits that are used in per sample, which is if it is 16, it's 65,536 levels.
[01:36:07.260 --> 01:36:19.260]  I have an image that my help explains a little bit more in detail what you just explained.
[01:36:19.260 --> 01:36:37.260]  So, yeah, yeah, you can share your share.
[01:36:37.260 --> 01:36:42.260]  Can everybody see that image there?
[01:36:42.260 --> 01:36:47.260]  So the idea is the following, right.
[01:36:47.260 --> 01:36:54.260]  How or what type of information you gather from the way and basically you gather into types of information.
[01:36:54.260 --> 01:36:59.260]  One is in the horizontal axis, the x axis is your sampling rate.
[01:36:59.260 --> 01:37:07.260]  How often you are measuring the amplitude of the wave, right, which is the height of the volume.
[01:37:07.260 --> 01:37:17.260]  That is, you see a higher sample rate, then it's going to produce a better quality wave.
[01:37:17.260 --> 01:37:22.260]  So the sound is going to be more clear, more crispy, correct.
[01:37:22.260 --> 01:37:34.260]  However, if so, the bit depth is the number of bits that you're going to use to represent that particular height.
[01:37:34.260 --> 01:37:56.260]  And that's where the quantization comes into place because quantization is going to, if you have this value here, you're gathering data right here at this point, then to which of these horizontal lines will you get that value close to which one is the closest, right.
[01:37:56.260 --> 01:38:09.260]  So the bit depth here is the number of bits that you're going to use to put up or down or to approximate up or down the actual value to plot the two coordinates.
[01:38:09.260 --> 01:38:20.260]  So if you look at these or you think in terms of mathematics here, the sample rate is your x coordinate and the bit depth is your white coordinate, right.
[01:38:20.260 --> 01:38:40.260]  And each one of those points is what is going to make the way obviously the more the higher the sample rate and the bigger the bit rate, then you have more points, right, think of in terms of I guess an analogy with images with the resolution of an image.
[01:38:40.260 --> 01:38:50.260]  So it's kind of a similar idea, right, and that's what allows us for the for the sound to be better.
[01:38:50.260 --> 01:38:54.260]  Did that help.
[01:38:54.260 --> 01:39:03.260]  Yes, but we had on the y axis, we had bit rates on the video.
[01:39:03.260 --> 01:39:18.260]  So look at this, right, so the sampling, the sampling, which is the horizontal axis, right, is going to help me capture the shape of the weight, correct, because I'm going to measure at different heights.
[01:39:18.260 --> 01:39:25.260]  So the more I have, I'm going to have more points that are going to kind of match the shape, correct.
[01:39:25.260 --> 01:39:40.260]  That's that's just the horizontal axis, they are and then the conclusion is going to precisely take those samples and represents the amplitude, because now we're talking about this particular.
[01:39:40.260 --> 01:40:04.260]  This particular form of of this greed that I can match or not, all right, so those two, then one is the quality of the sound, because it's going to try to match the shape of the weight and the conversation is going to actually determine the quality of it.
[01:40:04.260 --> 01:40:11.260]  Okay, but and the bit rate is.
[01:40:11.260 --> 01:40:23.260]  All right, so give me one second, all right, so the bit that so what is the idea, right, is the bit that refers to the number of bits used to represent the amplitude.
[01:40:23.260 --> 01:40:44.260]  So how many bits we're going to use to represent that height, right, so for example, in this image here, we have 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 bits, right, so because each one of those horizontal lines is represented one of those bits.
[01:40:44.260 --> 01:40:57.260]  So the more we have them, then the bearer is going to be the quality, right, and that's going to help in the precision with the original sound.
[01:40:57.260 --> 01:41:05.260]  Yeah, that's clear, but the bit rate, what does it represent in regards to big depth?
[01:41:06.260 --> 01:41:11.260]  The bit depth is understandable, but how is it differs from the bit rate?
[01:41:11.260 --> 01:41:15.260]  Oh, because real rate is how often do you are taking something?
[01:41:15.260 --> 01:41:18.260]  But sampling rate, isn't it sampling rate?
[01:41:18.260 --> 01:41:33.260]  Right, the real rate is with the sampling is how many times how often you're going to get a sample of the data in order to try to match or create that weight.
[01:41:33.260 --> 01:41:44.260]  So, for example, here, you see sampling rate is how often per second you actually record the weight.
[01:41:44.260 --> 01:41:51.260]  And there is how many bits you're going to use to represent that amplitude, that height.
[01:41:51.260 --> 01:41:59.260]  So one is how often I take data and the other is how or how much bits am I going to use to represent that data?
[01:41:59.260 --> 01:42:02.260]  So the bit rate is how often?
[01:42:02.260 --> 01:42:15.260]  The bit rate is how often I take information from the way or how do you remember from the video how many points I'm going to plot depends on how often I'm going to get those points.
[01:42:15.260 --> 01:42:17.260]  Okay, thank you.
[01:42:17.260 --> 01:42:20.260]  I'm sorry for the interruptions.
[01:42:20.260 --> 01:42:22.260]  Yes, absolutely fine.
[01:42:22.260 --> 01:42:25.260]  No, this is very, yeah, this is very helpful.
[01:42:25.260 --> 01:42:31.260]  And probably as a computer science students probably you can do a little more research on this to get more clarity.
[01:42:31.260 --> 01:42:36.260]  And we have the discussion forum so just to make a reflection so that it is beneficial to all.
[01:42:36.260 --> 01:42:42.260]  If you can find out some good videos or if you can find out some good examples, but please share that with the whole group.
[01:42:42.260 --> 01:42:44.260]  And I can share with you.
[01:42:44.260 --> 01:42:47.260]  Yeah, you can share.
[01:42:47.260 --> 01:42:57.260]  Right, so that's about how the sound is stored from analog form to the digital so that when it is converted back into analog.
[01:42:57.260 --> 01:43:06.260]  It just does the reverse engineering the way it is stored in the digital format that is just reversed back into the original analog format and we are able to hear that voice.
[01:43:06.260 --> 01:43:15.260]  So that means when I'm talking over this microphone, it is going into the computer in the same process as we just saw in that sampling.
[01:43:15.260 --> 01:43:22.260]  So it stores it in the digital format and then before relaying it back to you, it is again converting that back into the analog form.
[01:43:22.260 --> 01:43:26.260]  So this conversion is basically done in the real time by the computer system.
[01:43:26.260 --> 01:43:29.260]  It's not that what I'm talking is going in the original format to you.
[01:43:29.260 --> 01:43:37.260]  A lot of conversion is happening in between as per the description that we just saw in the in the examples.
[01:43:37.260 --> 01:43:45.260]  And you can actually try this, you know, there are some free to use tools wherein you can actually record your voice.
[01:43:45.260 --> 01:43:53.260]  For example, in 40, 40,100 megahertz and then you can convert it into the lower sound quality.
[01:43:53.260 --> 01:44:09.260]  That means your sampling rate is reduced. That means every bit that you're reading in your system or storing in the system is reduced to more or milliseconds, which would mean that that the frequency of that curve will actually be more of a straight line rather than going along with the curve.
[01:44:09.260 --> 01:44:16.260]  So even though you will be able to hear that voice, but then that will not be as clear as when you have the higher sampling rates.
[01:44:16.260 --> 01:44:23.260]  So one of the applications that I generally drive with my students is called sound forge.
[01:44:23.260 --> 01:44:29.260]  I don't know if some of you have used it. Have you used sound forge for audio editing?
[01:44:29.260 --> 01:44:36.260]  That is something which you can try for the practical purposes.
[01:44:36.260 --> 01:44:45.260]  It's a free application wherein you can just install it on Mac or windows, record your voice and then you can save it with different sampling rates.
[01:44:45.260 --> 01:44:52.260]  From 44,100 to lower down. You will see a substantial amount of reduction in the size.
[01:44:52.260 --> 01:44:59.260]  So 44,100 because it's taking the sample bit rate at a much faster rate as compared to lower.
[01:44:59.260 --> 01:45:02.260]  So you will be able to differentiate between the sound.
[01:45:02.260 --> 01:45:07.260]  Not to the extent that when you hear it on a laptop speaker, you can't probably differentiate it.
[01:45:07.260 --> 01:45:16.260]  But when you listen to it on a on a 5.1 channel speakers or bigger speakers, you will be able to see the difference between in the sound quality between the two.
[01:45:16.260 --> 01:45:26.260]  So please try this download it. It's free and you can just try a few sound recordings or existing sounds.
[01:45:26.260 --> 01:45:38.260]  Next comes is the video representation. Now just like how we talked about images which are still images non-movable.
[01:45:38.260 --> 01:45:44.260]  A video is nothing but it's a collection of many different still images which are called the frames.
[01:45:44.260 --> 01:45:53.260]  So if you actually have many different images in a sequence where there's a little bit of change happening between those images, you will see that movement happening.
[01:45:53.260 --> 01:45:57.260]  You can actually click a few pictures where your hand is here. Then you take the next picture and your hand goes up.
[01:45:57.260 --> 01:46:03.260]  Next picture handles it slightly goes up and when you fast play it, you will see that as if your hand is moving.
[01:46:03.260 --> 01:46:11.260]  So and a video is nothing but it's a collection of many different still images which are stitched together which are called the frames.
[01:46:11.260 --> 01:46:22.260]  So again frame rate frames per second FPS which we call it how many frames your image how many frames do you have in a given amount of time.
[01:46:22.260 --> 01:46:31.260]  That is what defines the frame rate. Obviously larger is the frame rate. Higher will be the size. No sorry.
[01:46:31.260 --> 01:46:39.260]  Higher is the frame rate. That means you have less number of images in a given amount of time so your image quality won't be good.
[01:46:39.260 --> 01:46:47.260]  Like if you look at the old videos of Charlie Chaplin or any tennis match being played let's say in 1970s or 1980s.
[01:46:47.260 --> 01:46:53.260]  You will see those images going very fast why because the frames per second is less.
[01:46:53.260 --> 01:46:59.260]  You have very few images within the given amount of time so obviously you will be able to see the difference between them.
[01:46:59.260 --> 01:47:06.260]  It will become fast one of the good examples to capture a video in the time lapse mode.
[01:47:06.260 --> 01:47:11.260]  So just put your no not time lapse mode but in the slow motion mode.
[01:47:11.260 --> 01:47:16.260]  Slow motion or time lapse mode will it be where you have time lapse mode.
[01:47:16.260 --> 01:47:25.260]  So you take one image then your camera stops for a while and takes the second image then takes the third image and when you play them together it will go very fast.
[01:47:25.260 --> 01:47:31.260]  So you have less number of images per frame second. So which means your video will run faster.
[01:47:31.260 --> 01:47:43.260]  Right so it's actually the number of images in the given amount of time stored that is actually what defines our videos size and video speed.
[01:47:43.260 --> 01:47:51.260]  Resolution number of pixels per frame now within the normal video also a video which is running with the normal flow.
[01:47:51.260 --> 01:48:00.260]  You can have different types of resolutions for example each frame what is the resolution just like the concept of images more or the pixels in each image.
[01:48:00.260 --> 01:48:06.260]  Obviously the quality will be better but at the same time the size will be more.
[01:48:06.260 --> 01:48:21.260]  Color depth bits per pixel again what is the color size like is it 24 bit color or it's a 32 bit color or 64 bit color higher is the bit color more will be the size each pixel and that will raise the size of your video.
[01:48:21.260 --> 01:48:28.260]  And then the compression obviously when we talk about the videos compression is something which is always talked about that what is the purpose of that video.
[01:48:28.260 --> 01:48:43.260]  Is it for a play in a movie hall obviously you need higher bits per pixel you need more number of pixels and you know need better frame rates so that your quality is optimum even on the big screen.
[01:48:43.260 --> 01:48:49.260]  But if your purpose is to watch it on a mobile phone or you want to stream it live on YouTube or any other channel.
[01:48:49.260 --> 01:49:02.260]  Then obviously you need to have lower bit first bits first pixel you need to have lower resolution so that the transmission of frames on the video channel can be faster.
[01:49:02.260 --> 01:49:12.260]  And these are different you don't have to go into the details of this but these are the different compression techniques which are used in the videos to compress the video.
[01:49:12.260 --> 01:49:22.260]  So that it can be optimum for the display for which it is planned for example netflix YouTube they all use these kind of products for their platform.
[01:49:22.260 --> 01:49:33.260]  So that they estimate the size which would be optimum for a display that people generally use at homes so that streaming can be useful.
[01:49:33.260 --> 01:49:53.260]  There's a trade off how much size they can reduce so that it looks good on your screen but at the same time it doesn't consume too much of bandwidth right so that trade off is generally measured by these companies who relay the videos for streaming so that you get the best quality video without any interruptions or delays.
[01:49:53.260 --> 01:50:21.260]  Okay now how compression works instead of storing every frame completely only changes between frame or saved now that is something which is being used as a part of these codecs algorithm as to whether you are changing the entire image every frame which will obviously require more bandwidth more storage because you are changing the entire image from one image to another right.
[01:50:21.260 --> 01:50:33.260]  And there's another way that only the changing parts of the image will be in the next frame rest of the rest of the frame remains intact I mean rest of the pixels remain intact.
[01:50:33.260 --> 01:50:46.260]  So think about this screen that is right in front of us if I'm moving the if I'm moving across the document vertically there are some areas which are still the same.
[01:50:46.260 --> 01:51:12.260]  So which would mean that if we are following this process of compression where the unchanged frames or unchanged pixels are copied as it is onto the next frame that will obviously consume less bandwidth and less size because the system is only using some part of the screen for the next image so obviously it will take less less space and the speed will be faster.
[01:51:12.260 --> 01:51:31.260]  So however it doesn't mean that it cannot be done for the whole screen so every millisecond let's say it has taken a frame and then it copies the entire frame to the next one capturing the whole screen that would mean that it is taking more pixels and making more copies next copies of the of the frame of the entire screen.
[01:51:31.260 --> 01:51:40.260]  So depending on what kind of codec or algorithm you have you are using it will determine how the frames are stored and relate over the communication channel.
[01:51:41.260 --> 01:51:48.260]  Like YouTube and Netflix uses advanced compression h.265 to stream 4k videos efficiently.
[01:51:48.260 --> 01:52:02.260]  Now imagine it's a 4k video which must be very huge in size but still we are able to see them on the TV in the best possible quality not because it is able to download that much of information.
[01:52:02.260 --> 01:52:16.260]  Like if you create a 4k video of even 1 minute right it will take almost I think 1 GB of size for 1 minute video in 4k would be almost 1 GB size.
[01:52:16.260 --> 01:52:30.260]  Now does it mean that every program that we watch on Netflix which is 4k is actually downloading so much of data no it is not so because it is using advanced compression techniques like h.265 which is compressing the 4k video.
[01:52:30.260 --> 01:52:38.260]  Keeping the quality more or less intact but in a much lower bandwidth or much lower relay size.
[01:52:38.260 --> 01:52:46.260]  And that is what is the importance of compression especially when you are actually using it for streaming purpose.
[01:52:46.260 --> 01:52:56.260]  The smartphones record videos are 60 FPS that mean your smartphone is capable of taking 60 different images every cycle of time.
[01:52:56.260 --> 01:53:06.260]  So when you press the record button on your mobile phone it is actually taking 60 different images every millisecond or whatever is the unit of measurement for each frame.
[01:53:06.260 --> 01:53:16.260]  Rash could you check the teacher chat please for a session.
[01:53:16.260 --> 01:53:30.260]  I don't hear is it just me are you not able to hear me or no no couple of students are wondering about what time we are ending today when a student has a doctor appointment.
[01:53:30.260 --> 01:53:42.260]  Yeah I think it's already let me let me see what all is left so we have something important which cannot be covered I'm sure in today's lesson because now we have the conversions after this.
[01:53:42.260 --> 01:53:50.260]  For example number system conversion which will take one full lesson so I don't think we can club this one for today's lesson.
[01:53:50.260 --> 01:54:13.260]  So maybe next week how should we do Martin because I don't think that we can cover one 1.2.1 today because it is quite a lot to be covered because it's all about conversion so we have to take each example.
[01:54:13.260 --> 01:54:18.260]  So we can end this lesson today but when should we do this second part of this lesson.
[01:54:19.260 --> 01:54:22.260]  Next Saturday.
[01:54:22.260 --> 01:54:33.260]  Well how about if we maybe maybe put together a video, share it with them.
[01:54:33.260 --> 01:54:35.260]  Yeah yeah we can do that yes.
[01:54:35.260 --> 01:54:41.260]  So we'll create a video for the second part of this topic which is 1.2.2 to 1.2.3.
[01:54:41.260 --> 01:54:56.260]  We'll prepare a video explaining how each conversion is done and I'm sure if you watch that in your free time you will be able to understand that and just note down the questions that you may have which we will take up next week.
[01:54:56.260 --> 01:55:05.260]  Okay is that fine with everyone because we don't know you with you with so much of information.
[01:55:06.260 --> 01:55:10.260]  Whatever we have covered today that also in itself a lot.
[01:55:10.260 --> 01:55:14.260]  Is it okay if we record a video and share with you or their number systems.
[01:55:14.260 --> 01:55:20.260]  Thumbs up everybody in this screen or an emoji or something if you're okay with that.
[01:55:20.260 --> 01:55:22.260]  All right yeah perfect.
[01:55:22.260 --> 01:55:23.260]  Okay guys.
[01:55:23.260 --> 01:55:32.260]  Okay so so so we'll prepare a video and share that video including this one but this is a very important chapter guys and it's not purely theoretical.
[01:55:32.260 --> 01:55:41.260]  It involves a lot of mathematical calculations and it also involves understanding of how pixels work how number system work how welfare gets recognized.
[01:55:41.260 --> 01:55:46.260]  So we would strongly recommend that please go through the content carefully watch this video again.
[01:55:46.260 --> 01:55:57.260]  We'll put it in the recording folder so watch this again so that you develop a good understanding of how computer system interprets data for the processing.
[01:55:57.260 --> 01:56:03.260]  Do we have anyone who has not marked the attendance or everybody has done that.
[01:56:03.260 --> 01:56:06.260]  What else were filling now.
[01:56:06.260 --> 01:56:09.260]  Do we have anyone who hasn't marked.
[01:56:09.260 --> 01:56:16.260]  I'm putting the link again just in case if you missed it I can see total we have 29 students who are marked attendance.
[01:56:16.260 --> 01:56:23.260]  So if anybody is left please use this link to mark your attendance.
[01:56:23.260 --> 01:56:29.260]  Rest of you who are already done may kindly leave we don't want to hold you back.
[01:56:29.260 --> 01:56:33.260]  So we'll wait to educate next week.
[01:56:33.260 --> 01:56:38.260]  Next week we will have the class 12 known or GMT.
[01:56:38.260 --> 01:56:42.260]  Okay so we learn and will educate next week.
[01:56:42.260 --> 01:56:48.260]  Yeah yeah yeah we'll learn logic it will start with the question answer session.
[01:56:48.260 --> 01:56:54.260]  We'll start with the questions if you have anything from this lesson including the number system for which we'll record the video.
[01:56:54.260 --> 01:56:58.260]  That will keep about 15 minutes and then we'll get on to logic gates.
[01:56:58.260 --> 01:57:03.260]  So we're ready to answer a couple of questions of converting numbers.
[01:57:03.260 --> 01:57:06.260]  Yeah correct.
[01:57:06.260 --> 01:57:13.260]  Do we have anyone who has not marked the attendance.
[01:57:13.260 --> 01:57:19.260]  Can you share the attendance sheet already or not yet.
[01:57:19.260 --> 01:57:21.260]  Yeah I have.
[01:57:21.260 --> 01:57:31.260]  So we have we did so we have 29 students who have marked that and anybody who is left can you put down your name in the chat if you haven't marked attendance.
[01:57:43.260 --> 01:57:58.260]  I'm putting the link in the chat so if you could kindly mark it if you haven't already done.
[01:57:58.260 --> 01:58:12.260]  So rest of you you may leave now and please make sure that you revise all these topics because they are extremely important and if you don't revise with the ongoing classes.
[01:58:12.260 --> 01:58:22.260]  It will become more and more difficult for you so we really want to make things simpler for you so that you don't struggle much and please go through.
[01:58:22.260 --> 01:58:29.260]  I'm glad that we had some wonderful questions so coming in so please do a little more research on how the sound works.
[01:58:29.260 --> 01:58:37.260]  We'll try and find some good YouTube videos and we'll include that into the document which will actually help you understand comprehensively how the sound is recorded.
[01:58:37.260 --> 01:58:48.260]  How it is stored how images are stored so that you don't struggle with answering questions related to these storage or file calculations.
[01:58:48.260 --> 01:58:59.260]  Okay thank you everyone for being here I know these classes are turning out to be quite long but I think it's worth it because otherwise if you just read it it will not help you much.
[01:58:59.260 --> 01:59:09.260]  So anyone who is not attending is actually missing a lot and I strongly recommend that you should if not already start attending these classes.
[01:59:09.260 --> 01:59:20.260]  Thank you so much you may leave now and although very best for next one week we'll see you at 12 GMT next Saturday.
[01:59:20.260 --> 01:59:40.260]  I have a question but it doesn't connect to the material learned for some reason I'm not in the list of the students who have not their teachers as well as several other students I was in a group with so and I cannot really mark the assignment as done.
[01:59:40.260 --> 01:59:54.260]  Okay so let me have a look at the assignment tomorrow so is it that is it a group assignment.
[01:59:54.260 --> 02:00:09.260]  No it's not a group is the individual meeting and I was I attended the individual meeting but we had four or five participants and we talked about each other so that's it.
[02:00:09.260 --> 02:00:14.260]  Yes that's fine as good as individual meeting so you can mark it as done.
[02:00:14.260 --> 02:00:18.260]  I cannot mark it really because I think it's up to the teacher to.
[02:00:18.260 --> 02:00:24.260]  Okay okay okay okay okay I've taken a record of all those I have met so I will mark it sure.
[02:00:24.260 --> 02:00:36.260]  Okay thank you very much because it's time's in and yeah thank you very much and also the link for the new session for the individual meeting there.
[02:00:36.260 --> 02:00:46.260]  It's done much like the available times and the phone the phone this don't much available times.
[02:00:46.260 --> 02:00:50.260]  Alexander I'll give you a big section.
