[05:00.000 --> 05:29.960]  How's everything, guys?
[01:16:06.960 --> 01:16:07.960]  Let's have a look at this one.
[01:16:07.960 --> 01:16:08.960]  A dot A plus B.
[01:16:08.960 --> 01:16:10.960]  The laws are given here.
[01:16:10.960 --> 01:16:12.960]  You can use distributive law.
[01:16:12.960 --> 01:16:14.960]  Identity law and absorption law.
[01:16:14.960 --> 01:16:17.960]  These three laws may be useful in solving this.
[01:16:17.960 --> 01:16:20.960]  And then we have step by step, A dot A plus B.
[01:16:20.960 --> 01:16:25.960]  A, which can be A dot A plus A dot B, which is distributive law.
[01:16:25.960 --> 01:16:32.960]  Then take A as A dot A is A, which is I don't put in law.
[01:16:32.960 --> 01:16:35.960]  And A dot B is the second expression.
[01:16:35.960 --> 01:16:40.960]  And then A plus A dot B is absorption law, which gives you A.
[01:16:40.960 --> 01:16:43.960]  So simplified expression is A.
[01:16:43.960 --> 01:16:45.960]  A plus A bar dot B.
[01:16:45.960 --> 01:16:47.960]  And these are the laws which are permitted.
[01:16:47.960 --> 01:16:50.960]  So go through these examples.
[01:16:50.960 --> 01:16:55.960]  And then I have also added few additional questions for you to solve.
[01:16:55.960 --> 01:16:59.960]  So if you go to the end of this, these are some practice questions.
[01:16:59.960 --> 01:17:06.960]  Expressions are given, which you need to solve yourself to get familiar with different laws.
[01:17:06.960 --> 01:17:11.960]  So I haven't written the exact law, but I have mentioned that what law can be used here.
[01:17:16.960 --> 01:17:20.960]  So that's about the simplification using the Boolean expression.
[01:17:20.960 --> 01:17:23.960]  The next one, which is more important is about.
[01:17:23.960 --> 01:17:26.960]  I mean, I don't know how to say more important because everything is important.
[01:17:26.960 --> 01:17:32.960]  But the second way of solving it is using K map.
[01:17:32.960 --> 01:17:36.960]  So if you remember last time I played one video and we solved using that.
[01:17:36.960 --> 01:17:41.960]  So K map is a more simplified way of actually reducing the Boolean expressions.
[01:17:41.960 --> 01:17:45.960]  Because there we make a matrix.
[01:17:45.960 --> 01:17:52.960]  And then we pick up the variables which are not changing within the pairs that we make.
[01:17:52.960 --> 01:17:54.960]  So let me play that video again for you.
[01:17:54.960 --> 01:17:57.960]  And then SL students can leave.
[01:17:57.960 --> 01:18:04.960]  Let me first check the audio.
[01:18:04.960 --> 01:18:08.960]  I'm going to have to share it again.
[01:18:11.960 --> 01:18:18.960]  And once this is done, then we'll get on to the actual content, which is not much.
[01:18:18.960 --> 01:18:23.960]  So it will take about half an hour to finish.
[01:18:23.960 --> 01:18:31.960]  Stop share and then share and Chrome tab with audio on.
[01:18:31.960 --> 01:18:32.960]  Okay.
[01:18:32.960 --> 01:18:39.960]  Now K map is one of the visual methods of simplifying the Boolean expressions.
[01:18:39.960 --> 01:18:42.960]  Where we don't need to learn any laws of Boolean algebra.
[01:18:42.960 --> 01:18:44.960]  That is not needed.
[01:18:44.960 --> 01:18:45.960]  It's very simplified.
[01:18:45.960 --> 01:18:52.960]  It's very simplified way of actually finding the bare minimum terms for a logic gate.
[01:18:52.960 --> 01:18:56.960]  Of no matter how complex your Boolean expression is.
[01:18:56.960 --> 01:18:59.960]  Now the K map can be done for two variables.
[01:18:59.960 --> 01:19:03.960]  It can be done for three variables or it can be done for four variables.
[01:19:03.960 --> 01:19:07.960]  Four variables mean an expression which has a bar BC for example.
[01:19:07.960 --> 01:19:10.960]  So we have a bar BC D.
[01:19:10.960 --> 01:19:11.960]  So those are four variables.
[01:19:11.960 --> 01:19:18.960]  But in IB exams, you will have the K map of maximum two or three, sorry, maximum three variables.
[01:19:18.960 --> 01:19:25.960]  I don't think they will give you very simple two variable K map, but three variable K map is good enough for you to learn.
[01:19:25.960 --> 01:19:27.960]  So let's have a look at this step by step.
[01:19:27.960 --> 01:19:30.960]  And then simultaneously I'll also explain you.
[01:19:30.960 --> 01:19:35.960]  And this is very good video basically to understand what the K map looks like.
[01:19:35.960 --> 01:19:38.960]  We can reduce the number.
[01:19:38.960 --> 01:19:39.960]  Is it audible?
[01:19:39.960 --> 01:19:41.960]  The video sound.
[01:19:41.960 --> 01:19:44.960]  Could someone confirm of logic gates?
[01:19:44.960 --> 01:19:48.960]  Okay, which is required to implement that function.
[01:19:48.960 --> 01:19:52.960]  For example, let's say we have this Boolean expression.
[01:19:52.960 --> 01:19:56.960]  And we want to implement it using the logic gates.
[01:19:56.960 --> 01:19:59.960]  Now this expression is in the canonical SOP form.
[01:19:59.960 --> 01:20:04.960]  So to implement this expression, we require three end gates and one or gate.
[01:20:04.960 --> 01:20:10.960]  And here we are assuming that the inputs in the true form and the complemented form are.
[01:20:10.960 --> 01:20:16.960]  Okay, one thing I want to tell you here that in the IB exams, you will not be allowed to use three inputs in one gate.
[01:20:16.960 --> 01:20:20.960]  So if it is ABC, how will you do it?
[01:20:20.960 --> 01:20:23.960]  If it is ABC.
[01:20:23.960 --> 01:20:28.960]  Like the first time gate is taking three inputs, you are not allowed to use three inputs in one gate.
[01:20:28.960 --> 01:20:31.960]  So how will you split it?
[01:20:31.960 --> 01:20:39.960]  Yeah, go ahead.
[01:20:39.960 --> 01:20:48.960]  We will separate will take AB and see separately will take AB with end gate and then see and unify them with end gate as well.
[01:20:48.960 --> 01:20:49.960]  Correct.
[01:20:49.960 --> 01:20:50.960]  So there will be two end gates.
[01:20:50.960 --> 01:20:57.960]  One will be taking inputs A and B that output will be AB and then AB and C will pass through another end gate.
[01:20:57.960 --> 01:21:01.960]  So that means this will have to be split into two different end gates.
[01:21:01.960 --> 01:21:03.960]  That's what is required.
[01:21:03.960 --> 01:21:07.960]  So never ever, never ever use a single gate with three inputs.
[01:21:07.960 --> 01:21:08.960]  That will be wrong.
[01:21:08.960 --> 01:21:10.960]  Really available.
[01:21:10.960 --> 01:21:18.960]  But if we just minimize this expression, then we can reduce the number of logic gates, which is required to implement this function.
[01:21:18.960 --> 01:21:23.960]  So in this way, by simplifying the Boolean expression, we can reduce the number of logic gates.
[01:21:23.960 --> 01:21:29.960]  And by doing so, we can reduce the total cost and the required space for that implement.
[01:21:29.960 --> 01:21:34.960]  So first of all, let us see how to construct the K map for two and three variables.
[01:21:34.960 --> 01:21:40.960]  Then after we will see that how to map the Boolean expression in this total four main terms.
[01:21:40.960 --> 01:21:44.960]  So this is how the two variable K map will look like.
[01:21:44.960 --> 01:21:45.960]  Okay.
[01:21:45.960 --> 01:21:56.960]  So this is the structure of two variable K map where we have the inputs as A and B and the possible combinations for A and B are 0, 0, 1, 1, 0, 1, 0, 1.
[01:21:56.960 --> 01:22:01.960]  The main term is basically the representation of those combinations in the form of variables.
[01:22:01.960 --> 01:22:09.960]  So when it is 0, 0, we say A bar B bar 0, 1 is A bar B, 1, 0 is AB bar and 1, 1 is AB.
[01:22:09.960 --> 01:22:16.960]  So this is just a indication of different combinations to the inputs A and B.
[01:22:16.960 --> 01:22:24.960]  And that they have been termed as M 0, M 1, M 2, M 3 just to give it a sequence in the ascending order of the occurrence.
[01:22:24.960 --> 01:22:33.960]  So here, the digit beside each row is the possible value of the A, while the digit above each column is the possible values of the B.
[01:22:34.960 --> 01:22:40.960]  And the combination of this A and B is represented by the each cell of this kind of map.
[01:22:40.960 --> 01:22:46.960]  Or in other words, we can say that the each cell of this map represents the particular main term.
[01:22:46.960 --> 01:22:55.960]  So whenever this A and B are 0, then it represents the A bar dot B bar and it is represented by this cell.
[01:22:55.960 --> 01:23:05.960]  Similarly, when this A is 0 and B is 1, then it represents the A bar dot B and the second cell represents the main term M 1.
[01:23:05.960 --> 01:23:15.960]  Likewise, when A is 1 and B is 0 and that represents the main term M 2 and this last cell represents the main term M 3.
[01:23:15.960 --> 01:23:28.960]  That means each cell of the map represents the particular main term and for simplicity, we can also denote each cell in the number where this number is the variable B and C.
[01:23:28.960 --> 01:23:30.960]  And this is how map.
[01:23:30.960 --> 01:23:35.960]  So this is how the two variable K map will look like.
[01:23:35.960 --> 01:23:39.960]  Similarly, now let us see the three variable K map.
[01:23:39.960 --> 01:23:43.960]  So for the three variables, there are total eight different combinations.
[01:23:43.960 --> 01:23:49.960]  Okay, so in the two variable K map, you saw that it was straightforward that.
[01:23:49.960 --> 01:23:55.960]  So we have a square split into four different boxes or cells because it's the two variables.
[01:23:55.960 --> 01:24:00.960]  So that means there are four combinations for A, the possible values are 0 and 1.
[01:24:00.960 --> 01:24:03.960]  Similarly, for B, there are possible values are 0 and 1.
[01:24:03.960 --> 01:24:10.960]  But when we talk about three variables, we will have total eight combinations to raise for three, which is eight combinations.
[01:24:10.960 --> 01:24:16.960]  Now, when we have eight combinations, then A is obviously two values, so 0, 1, that's straightforward.
[01:24:16.960 --> 01:24:23.960]  But BC, you can see that it is 0, 0, 0, 1. Ideally, it should have been 1, 0 and then 1, 1.
[01:24:23.960 --> 01:24:27.960]  But this has been split and we talked about this last time.
[01:24:27.960 --> 01:24:31.960]  Can anybody remind or recall why do we have 1, 1 before 1, 0?
[01:24:31.960 --> 01:24:36.960]  See, I just sent cells should only have one number difference.
[01:24:36.960 --> 01:24:37.960]  Yes.
[01:24:37.960 --> 01:24:50.960]  So this is one of the requirements for a K map that when you are moving from one cell to the adjacent cell, adjacent means next cell, the maximum number of bit changes should not exceed one.
[01:24:50.960 --> 01:24:55.960]  So maximum changes in the bits should be maximum one, not more than that.
[01:24:55.960 --> 01:25:02.960]  Now, here we have, so let's look at the left side from 0 to 1, there is only one change that 0 to 1.
[01:25:02.960 --> 01:25:10.960]  Now, in the top row, which is represented for BC, the first cell address is 0, 0.
[01:25:10.960 --> 01:25:13.960]  The second one is 0, 1, so there is only one bit which is changing.
[01:25:13.960 --> 01:25:17.960]  0, 0 is common and 0, 1, so only one bit is changing.
[01:25:17.960 --> 01:25:21.960]  Between 0, 1 and 1, 1 also only one bit is changing.
[01:25:21.960 --> 01:25:25.960]  That is, first 0 and the first 1, 1, 1 is common.
[01:25:25.960 --> 01:25:29.960]  Between 1, 1 and 1, 0 also only one bit is changing.
[01:25:29.960 --> 01:25:36.960]  Now, if we suppose split, if we swap 3 and 2, making 10 here and 1, 1 here.
[01:25:36.960 --> 01:25:44.960]  So if 10 comes at the point of 3, then between 0, 1 and 1, 0, there are 2 bits changing.
[01:25:44.960 --> 01:25:50.960]  So 0 to 1 and 1 to 0, this 0 is changing into 1 and this 1 is changing into 0.
[01:25:50.960 --> 01:25:55.960]  That sequencing will not help you to simplify the Boolean expression.
[01:25:55.960 --> 01:26:02.960]  The Boolean expression simplification works only when you have maximum 1 bit changing in every adjacent cell.
[01:26:02.960 --> 01:26:07.960]  What are the adjacent cells for 1, 1? Can you name them?
[01:26:07.960 --> 01:26:11.960]  So we have the numbers for each cell 0, 1, 2, 3, 4, 5, 6, 7.
[01:26:11.960 --> 01:26:15.960]  Could you tell me what are the adjacent cells for 3?
[01:26:15.960 --> 01:26:20.960]  0, 0, 1, 1, 1 and 0, 1, 0.
[01:26:21.960 --> 01:26:25.960]  So for 3, it is 0, 0, 1, this 0 and 0, 1.
[01:26:25.960 --> 01:26:31.960]  For this 3, this is 0, 1, 0, so this 0 and 1, 0 and that's it.
[01:26:31.960 --> 01:26:36.960]  How about this 1, 7? Is 7 not adjacent?
[01:26:36.960 --> 01:26:39.960]  It is adjacent.
[01:26:39.960 --> 01:26:41.960]  It is adjacent.
[01:26:41.960 --> 01:26:46.960]  So for 3, the adjacent cells are left, right and bottom.
[01:26:46.960 --> 01:26:53.960]  So adjacent cells are those which are immediately next to a given cell.
[01:26:53.960 --> 01:26:58.960]  What are the adjacent cells for 0?
[01:26:58.960 --> 01:27:01.960]  0, 0, 0, 0.
[01:27:01.960 --> 01:27:03.960]  No, just tell me the number.
[01:27:03.960 --> 01:27:14.960]  Just tell me the minimum number for 0, 1 and 1, 1, 4 and 2, right?
[01:27:14.960 --> 01:27:22.960]  So now this is something you have to remember that adjacent cell is also two extreme ends of the K-map.
[01:27:22.960 --> 01:27:34.960]  So this 0 and this 2, if you roll the paper, like if this is a paper and if you roll it like this, then two extreme ends become one next to each other.
[01:27:34.960 --> 01:27:41.960]  So therefore the adjacent cells are not just next to one another, but also the extreme ends.
[01:27:41.960 --> 01:27:44.960]  So for 0, 2 is also adjacent cell.
[01:27:44.960 --> 01:27:47.960]  For 4, 6 is also adjacent cells.
[01:27:47.960 --> 01:27:53.960]  And if you look at any adjacent cell now, the maximum number of bits changing is only 1.
[01:27:53.960 --> 01:28:02.960]  So in a way, I would say that just remember this that the combination is 0, 0, 0, 1, 1, 1, 1, 0 and here it is 0, 1.
[01:28:02.960 --> 01:28:10.960]  So for the 3 variables, there are total 8 different combinations and this is how the 3 variable K-map will look like.
[01:28:10.960 --> 01:28:17.960]  So here, the numbers on the top of each column represents the possible combinations of variable B and C,
[01:28:17.960 --> 01:28:28.960]  while the number beside each row represents the possible values of the A and each cell represents the particular combination of A, B and C or in other words,
[01:28:28.960 --> 01:28:31.960]  each cell represents the particular main term.
[01:28:31.960 --> 01:28:36.960]  Now here in the K-map, the numbering is done in the gray code form.
[01:28:36.960 --> 01:28:42.960]  That means if you move from the one column to the other column, then only one bit is changing at the time.
[01:28:42.960 --> 01:28:47.960]  And that is why after 0, 1, we have a 1, 1 instead of 1, 0.
[01:28:47.960 --> 01:28:53.960]  That means between each pair of adjacent cells, only one bit is changing at the time.
[01:28:53.960 --> 01:29:00.960]  For example, as we move from the first cell to the second cell, then only this third bit is changing.
[01:29:00.960 --> 01:29:07.960]  Likewise, as we move from the 0, 0, 1 to the 0, 1, 1, then only the second bit is changing.
[01:29:07.960 --> 01:29:14.960]  Similarly, as we move from the 0, 0, 1 to the 1, 0, 1, then only MSB is changing.
[01:29:14.960 --> 01:29:22.960]  Moreover, as we move from the 0, 0, 0 to 0, 1, 0, then also only one bit is changing.
[01:29:22.960 --> 01:29:26.960]  That means these two corner cells are also adjacent.
[01:29:26.960 --> 01:29:31.960]  Because if we just wrap this map, then these two cells will be adjacent to each other.
[01:29:31.960 --> 01:29:36.960]  Similarly, these two cells are also adjacent to each other.
[01:29:36.960 --> 01:29:45.960]  So in short, in the K map, the cells are arranged such that between each pair of adjacent cells, only one bit is changing at the time.
[01:29:45.960 --> 01:29:50.960]  Alright, so now let us see how to map the Boolean expression in this K map.
[01:29:50.960 --> 01:29:57.960]  And in this video, we will assume that the Boolean expression is in the sum of product form.
[01:29:57.960 --> 01:30:00.960]  So first, let us take the case of two variables.
[01:30:00.960 --> 01:30:05.960]  So here, this f1 is the function of two variables.
[01:30:05.960 --> 01:30:09.960]  So to represent this function in the K map, what we will do?
[01:30:09.960 --> 01:30:15.960]  Whatever mean terms are present in this function, for those mean terms, we will put the one in the map.
[01:30:15.960 --> 01:30:21.960]  For example, in this case, the mean terms 0, 1 and 3 are present.
[01:30:21.960 --> 01:30:24.960]  So we will put the one in those cells.
[01:30:24.960 --> 01:30:29.960]  Now many times, we might be given a function in the algebraic form.
[01:30:29.960 --> 01:30:30.960]  So from there.
[01:30:30.960 --> 01:30:32.960]  Okay, so let us break this up.
[01:30:32.960 --> 01:30:40.960]  So here you can see that the question which is given is in the form of sigma 0, 1, 3 for a two variable K map.
[01:30:40.960 --> 01:30:49.960]  Now when the sigma values are given, then you just have to mark those particular cells as 1 because those are the cells which we are going to consider.
[01:30:49.960 --> 01:30:52.960]  The one which is not given will be left as 0.
[01:30:52.960 --> 01:30:59.960]  Now they are saying that cell number 0 plus cell number 1 and cell number 3, they contribute to the value 1.
[01:30:59.960 --> 01:31:01.960]  So we are mark them as 1, 1, 1.
[01:31:01.960 --> 01:31:03.960]  The one which is not given is 0.
[01:31:03.960 --> 01:31:06.960]  That is one form of question which you may get.
[01:31:06.960 --> 01:31:15.960]  Other form is that they may not give you 0, 1, 3, but they may give you a Boolean expression and they may ask you to simplify that.
[01:31:15.960 --> 01:31:21.960]  Could somebody tell me if we convert this sigma 0, 1, 3 into Boolean expression, what will it be?
[01:31:21.960 --> 01:31:30.960]  Tell me the first term only or the Boolean expression.
[01:31:30.960 --> 01:31:31.960]  Sorry.
[01:31:31.960 --> 01:31:33.960]  What will be the Boolean?
[01:31:33.960 --> 01:31:41.960]  Let's say the other format of this question may require you to solve a Boolean expression.
[01:31:41.960 --> 01:31:46.960]  A, O, B, and also we can map the functioning.
[01:31:46.960 --> 01:31:50.960]  Tell me the first term of the Boolean expression if we convert this into Boolean expression.
[01:31:50.960 --> 01:31:53.960]  Not A and not B.
[01:31:53.960 --> 01:31:54.960]  Yes, stay there.
[01:31:54.960 --> 01:31:59.960]  The first one is not A dot not B. Why?
[01:31:59.960 --> 01:32:07.960]  Because the first cell which is given is 0, which is this particular cell, where A is 0 and B is 0.
[01:32:07.960 --> 01:32:13.960]  So when A is 0 and B is 0, it will contribute to the Boolean expression A bar dot B bar.
[01:32:13.960 --> 01:32:17.960]  That is the first term. What will be the second term for 1?
[01:32:17.960 --> 01:32:22.960]  So A bar dot B bar plus not A and B.
[01:32:22.960 --> 01:32:27.960]  Not A and B because A is 0 for this and B is 1.
[01:32:27.960 --> 01:32:30.960]  So the second term will be not A and B.
[01:32:31.960 --> 01:32:38.960]  So the expression shows so far is A bar dot B bar plus A bar dot B.
[01:32:38.960 --> 01:32:41.960]  What will be the third term in the Boolean expression?
[01:32:41.960 --> 01:32:45.960]  Plus A and B.
[01:32:45.960 --> 01:32:47.960]  A and B, very good.
[01:32:47.960 --> 01:32:49.960]  A is 1, B is 1, so A and B.
[01:32:49.960 --> 01:32:57.960]  So you may be given a Boolean expression like that, where you have A bar dot B bar plus A bar dot B plus A B.
[01:32:57.960 --> 01:33:03.960]  If the Boolean expression is given by looking at that Boolean expression, you will plot these ones in the same way.
[01:33:03.960 --> 01:33:05.960]  So it is nothing different than this one.
[01:33:05.960 --> 01:33:14.960]  It is only that they have given you the Boolean expression and you are converting term by term a particular cell value, which is part of that Boolean expression.
[01:33:14.960 --> 01:33:16.960]  The K map.
[01:33:16.960 --> 01:33:25.960]  For example, the same function can also be given as A bar dot B bar plus A bar dot B plus A B.
[01:33:25.960 --> 01:33:27.960]  Both vary each other.
[01:33:27.960 --> 01:33:30.960]  But this group should be in the power of two.
[01:33:30.960 --> 01:33:37.960]  That means in case of the two variable map, we can make the group of two ones or the four ones which are adjacent.
[01:33:37.960 --> 01:33:45.960]  Okay, so this is another learning that you need to develop that the pairing can be done only in the power of two.
[01:33:45.960 --> 01:33:55.960]  That means you can make a group of two adjacent cells or the next would be four adjacent cells or next could be eight.
[01:33:55.960 --> 01:33:58.960]  So it has to be always in the power of two.
[01:33:58.960 --> 01:34:02.960]  Now, you don't need to worry about eight because you don't have four variable K map.
[01:34:02.960 --> 01:34:04.960]  Maximum you have three variables.
[01:34:04.960 --> 01:34:11.960]  So which means you are going to have two recipe are two, which is a pair of four variables.
[01:34:11.960 --> 01:34:17.960]  You cannot make like if you have one more one here, you cannot make one single of three.
[01:34:17.960 --> 01:34:18.960]  It has to be power of two.
[01:34:18.960 --> 01:34:23.960]  So either two or four or eight to each other.
[01:34:23.960 --> 01:34:27.960]  But we cannot make the group of ones, which is not in the power of two.
[01:34:27.960 --> 01:34:32.960]  For example, we cannot make the group of three ones.
[01:34:32.960 --> 01:34:38.960]  And during the grouping does ensure that all the ones in the map gets covered in the power of.
[01:34:38.960 --> 01:34:42.960]  Okay, can you tell me in this example?
[01:34:42.960 --> 01:34:49.960]  In this example, is it is it correct format like the blue line and the yellow line?
[01:34:49.960 --> 01:34:55.960]  Is that correct?
[01:34:55.960 --> 01:34:56.960]  Anyone?
[01:34:56.960 --> 01:35:00.960]  We say that we can do the pairing of adjacent cells.
[01:35:00.960 --> 01:35:02.960]  So is it correct?
[01:35:02.960 --> 01:35:04.960]  Yes.
[01:35:04.960 --> 01:35:06.960]  Is this correct?
[01:35:06.960 --> 01:35:12.960]  Yes.
[01:35:12.960 --> 01:35:18.960]  Think about it.
[01:35:18.960 --> 01:35:22.960]  If we have already covered the first top row.
[01:35:22.960 --> 01:35:26.960]  Okay, both the ones are already gone.
[01:35:26.960 --> 01:35:32.960]  And if both the ones are already gone, then the one which is left over that will be written in its complete form.
[01:35:32.960 --> 01:35:34.960]  That cannot be further paired.
[01:35:34.960 --> 01:35:37.960]  But the intersection is allowed.
[01:35:37.960 --> 01:35:38.960]  Yes.
[01:35:38.960 --> 01:35:39.960]  So it's not.
[01:35:39.960 --> 01:35:41.960]  It can provide events.
[01:35:41.960 --> 01:35:44.960]  It can create even simpler expression.
[01:35:44.960 --> 01:35:51.960]  So it can be just be not a beer and not a B.
[01:35:51.960 --> 01:35:53.960]  If we just left one.
[01:35:53.960 --> 01:35:54.960]  One second.
[01:35:54.960 --> 01:35:55.960]  Yeah.
[01:35:55.960 --> 01:35:56.960]  So, yeah.
[01:35:56.960 --> 01:35:57.960]  So when do we not consider?
[01:35:57.960 --> 01:36:00.960]  So if we have you're correct, you're right.
[01:36:00.960 --> 01:36:05.960]  So if we have let's say.
[01:36:05.960 --> 01:36:07.960]  When do we not come?
[01:36:07.960 --> 01:36:10.960]  When do we not consider the reputation?
[01:36:10.960 --> 01:36:16.960]  When those are two different pairs, which are already covered, isn't it?
[01:36:16.960 --> 01:36:22.960]  If there are two pairs and there's another pair.
[01:36:22.960 --> 01:36:26.960]  Between them, you don't consider them.
[01:36:26.960 --> 01:36:29.960]  If you have two pairs, which are different.
[01:36:29.960 --> 01:36:33.960]  And there is other pairs as one another one.
[01:36:33.960 --> 01:36:34.960]  So yeah, so if.
[01:36:34.960 --> 01:36:35.960]  Okay, so yeah, this is fine.
[01:36:35.960 --> 01:36:38.960]  So if you simplify this, then it will be further reduced.
[01:36:38.960 --> 01:36:39.960]  Correct.
[01:36:39.960 --> 01:36:42.960]  So we'll have a look at that example where it is not.
[01:36:42.960 --> 01:36:45.960]  And in this way, all the ones in the map gets covered.
[01:36:45.960 --> 01:36:51.960]  So in this way, by doing this grouping, we can minimize the bullet expression.
[01:36:51.960 --> 01:36:55.960]  And to understand that first, let us consider this first group.
[01:36:55.960 --> 01:36:58.960]  So this group consists of two main terms.
[01:36:58.960 --> 01:37:02.960]  That is A bar dot B bar and the A bar dot B.
[01:37:02.960 --> 01:37:05.960]  Now in this case, since the A bar is common.
[01:37:05.960 --> 01:37:07.960]  So we will have B bar plus B.
[01:37:07.960 --> 01:37:11.960]  And we know that this B bar plus B is equal to one.
[01:37:11.960 --> 01:37:16.960]  That means this A bar dot B bar plus A bar dot B is equal to A bar.
[01:37:16.960 --> 01:37:20.960]  Now, this is the simplification using the laws of Boolean algebra.
[01:37:20.960 --> 01:37:23.960]  So side by side, he is discussing both the options.
[01:37:23.960 --> 01:37:26.960]  One is laws of Boolean algebra and the second is using the K map.
[01:37:26.960 --> 01:37:31.960]  So here, if we are applying the laws of Boolean algebra, then this one is absorption law.
[01:37:31.960 --> 01:37:38.960]  And then B bar plus B, that is the B bar plus B is one A bar dot one is A bar.
[01:37:38.960 --> 01:37:41.960]  So we get A bar as the final outcome.
[01:37:41.960 --> 01:37:43.960]  So by grouping these two ones,
[01:37:43.960 --> 01:37:45.960]  equivalently, we will get A bar.
[01:37:45.960 --> 01:37:50.960]  So now, let us see how to get the same result from the K map.
[01:37:50.960 --> 01:37:55.960]  So if you see this group, then this variable A remains same throughout the group.
[01:37:55.960 --> 01:37:58.960]  On the other end, this variable B.
[01:37:58.960 --> 01:38:01.960]  So when you are looking at this pair,
[01:38:01.960 --> 01:38:07.960]  you have to see that the board value is staying identical or saying,
[01:38:07.960 --> 01:38:09.960]  and which variable is changing.
[01:38:09.960 --> 01:38:13.960]  Now, since A is zero value is running across this whole row,
[01:38:13.960 --> 01:38:15.960]  which means it is not changing.
[01:38:15.960 --> 01:38:17.960]  No matter how many rows you have here,
[01:38:17.960 --> 01:38:20.960]  the value of A will stay identical.
[01:38:20.960 --> 01:38:23.960]  So which means A will not be skipped.
[01:38:23.960 --> 01:38:25.960]  And then we are looking at what is the value of A.
[01:38:25.960 --> 01:38:27.960]  So the value of A is zero.
[01:38:27.960 --> 01:38:31.960]  So which means A bar is not changing across this entire row.
[01:38:31.960 --> 01:38:33.960]  But B is changing.
[01:38:33.960 --> 01:38:36.960]  The B for the first column is zero and the B for the second column is one.
[01:38:36.960 --> 01:38:40.960]  So we will disregard any variable or any input,
[01:38:40.960 --> 01:38:44.960]  which is changing its values between two different adjacent cells.
[01:38:45.960 --> 01:38:47.960]  So if you look at this pair,
[01:38:47.960 --> 01:38:51.960]  the only value which is staying intact is A as zero,
[01:38:51.960 --> 01:38:54.960]  because that applies to the entire row.
[01:38:54.960 --> 01:38:55.960]  And zero is changing.
[01:38:55.960 --> 01:38:57.960]  B is changing, so we'll skip the B.
[01:38:57.960 --> 01:39:00.960]  So the outcome from this particular pair is just A bar.
[01:39:00.960 --> 01:39:02.960]  It's changing over the group.
[01:39:02.960 --> 01:39:04.960]  So we will discard the variable,
[01:39:04.960 --> 01:39:06.960]  which is changing throughout the group.
[01:39:06.960 --> 01:39:09.960]  And we will keep the variable, which is not changing.
[01:39:09.960 --> 01:39:11.960]  So in this case, as you can see,
[01:39:11.960 --> 01:39:14.960]  this variable A is not changing.
[01:39:14.960 --> 01:39:18.960]  And here, the value of this variable is equal to zero.
[01:39:18.960 --> 01:39:22.960]  That means this group represents A bar.
[01:39:22.960 --> 01:39:25.960]  Similarly, let us see the second group.
[01:39:25.960 --> 01:39:29.960]  So this group can this stop two mean terms A bar.
[01:39:29.960 --> 01:39:34.960]  Okay, what is changing and what is staying intact here?
[01:39:34.960 --> 01:39:38.960]  Anyone who is not given any input, please look at this.
[01:39:38.960 --> 01:39:45.960]  Tell me what is changing, A is changing or B is changing.
[01:39:45.960 --> 01:39:47.960]  This is A.
[01:39:47.960 --> 01:39:48.960]  A.
[01:39:48.960 --> 01:39:50.960]  This is A is changing, right?
[01:39:50.960 --> 01:39:58.960]  So will we keep A or we will just discard this?
[01:39:58.960 --> 01:40:01.960]  Should we keep A or just let it go?
[01:40:01.960 --> 01:40:02.960]  It's your guard.
[01:40:02.960 --> 01:40:03.960]  This is your guard.
[01:40:03.960 --> 01:40:07.960]  And because B is constant and the value of B is one,
[01:40:07.960 --> 01:40:11.960]  so that means the B will be taken into the experiment.
[01:40:11.960 --> 01:40:13.960]  A dot B and A B.
[01:40:13.960 --> 01:40:16.960]  So if you simplify this expression using the Boolean laws,
[01:40:16.960 --> 01:40:18.960]  then we will get the B.
[01:40:18.960 --> 01:40:22.960]  And the same result, we can also get directly from the A map.
[01:40:22.960 --> 01:40:25.960]  So if you see this group, then in this group,
[01:40:25.960 --> 01:40:29.960]  the variable A is changing while the variable B is constant.
[01:40:29.960 --> 01:40:31.960]  So in this group,
[01:40:31.960 --> 01:40:33.960]  we will keep this variable B,
[01:40:33.960 --> 01:40:35.960]  and we will ignore this variable A.
[01:40:35.960 --> 01:40:38.960]  And here, since the value of B is equal to one,
[01:40:38.960 --> 01:40:41.960]  so this group represents B.
[01:40:41.960 --> 01:40:44.960]  That means this group represents A bar,
[01:40:44.960 --> 01:40:47.960]  while this group represents B.
[01:40:47.960 --> 01:40:51.960]  And the overall function is the summation of A bar and B.
[01:40:51.960 --> 01:40:53.960]  So in this way, using the K map,
[01:40:53.960 --> 01:40:58.960]  we can simplify the Boolean expression without using any Boolean laws.
[01:40:58.960 --> 01:41:00.960]  So let us take one more example.
[01:41:00.960 --> 01:41:04.960]  So once again, here the function is the two variable function.
[01:41:04.960 --> 01:41:07.960]  And it consists of two main terms.
[01:41:07.960 --> 01:41:09.960]  That is M0 and M3.
[01:41:09.960 --> 01:41:11.960]  So in the K map,
[01:41:11.960 --> 01:41:13.960]  first of all, let us mark those cells with the one,
[01:41:13.960 --> 01:41:16.960]  which corresponds to these two main terms.
[01:41:16.960 --> 01:41:18.960]  So in this case, we can...
[01:41:18.960 --> 01:41:20.960]  Can you tell one of you tell me,
