[12:04.000 --> 12:12.000]  After the week
[01:12:31.000 --> 01:12:36.000]  Whereas your focus should be completely on driving and looking at the map only for the directions.
[01:12:36.000 --> 01:12:38.000]  So why would you be interested in looking at that?
[01:12:38.000 --> 01:12:43.000]  What all is passing by on the road where you are traveling unless you have.
[01:12:43.000 --> 01:12:49.000]  You have put into the Google maps that take me to the nearest federal pump or the fuel station.
[01:12:49.000 --> 01:12:56.000]  In that case, you may like to look surrounding area because that's your objective that you want to go to the nearest fuel station.
[01:12:56.000 --> 01:12:59.000]  But otherwise you just want to reach to the destination.
[01:12:59.000 --> 01:13:02.000]  So you have given the route map and it just shows you the road.
[01:13:02.000 --> 01:13:09.000]  So abstraction and computer science plays an important role because you have to be mindful about what information the user is wanting to look at.
[01:13:09.000 --> 01:13:16.000]  So when you will prepare the reports, you will only stick to the requirements of the user, you will hide rest other things, right.
[01:13:16.000 --> 01:13:21.000]  So whenever you are writing the SQL queries to extract information, especially when you will make the IA,
[01:13:21.000 --> 01:13:28.000]  you will have to take into account what fields are required to be displayed hiding other parts.
[01:13:28.000 --> 01:13:34.000]  So if I just need to display the list of students in a class, I don't need the date of birth.
[01:13:34.000 --> 01:13:36.000]  So I can hide that I don't need their address.
[01:13:36.000 --> 01:13:38.000]  I don't need their phone numbers, right.
[01:13:38.000 --> 01:13:45.000]  So instead of having a generic report, which shows all fields, making a big clutter on the screen.
[01:13:45.000 --> 01:13:48.000]  Why do I need all that information, which is not needed for my report?
[01:13:48.000 --> 01:13:49.000]  I just need the class list.
[01:13:49.000 --> 01:13:53.000]  Let's say I need the serial number first name, middle name, last name, that's it.
[01:13:53.000 --> 01:13:57.000]  So I can hide rest of the things and that is what is called abstraction.
[01:13:57.000 --> 01:13:59.000]  The exception is it just technical.
[01:13:59.000 --> 01:14:07.000]  It's thinking skill is what allows scientists to model weather economics to predict markets or doctors to visualize bodies.
[01:14:08.000 --> 01:14:12.000]  Systems without getting lost in microscopic details.
[01:14:12.000 --> 01:14:17.000]  So abstraction is not just for computer science, but it can be applied to any field extracting only the information,
[01:14:17.000 --> 01:14:20.000]  which is essential, hiding other parts.
[01:14:20.000 --> 01:14:22.000]  Next is algorithmic design.
[01:14:22.000 --> 01:14:30.000]  Martin, would you like to take it from algorithmic design?
[01:14:30.000 --> 01:14:33.000]  I have taken or are taking math, right.
[01:14:33.000 --> 01:14:42.000]  Well, every time you solve a problem, you're actually using an algorithm, right.
[01:14:42.000 --> 01:14:46.000]  Which is what a clear step by step plan for solving a problem.
[01:14:46.000 --> 01:14:53.000]  So in the algorithm design, you're going to break a big tax into small logical steps.
[01:14:53.000 --> 01:14:59.000]  Same thing, making the analogy with the mathematics, right.
[01:15:00.000 --> 01:15:04.000]  So it's like divide and conquer.
[01:15:04.000 --> 01:15:11.000]  The smaller the task, the easier it will be, the smaller the breakdown, the easier it will be to solve a solution.
[01:15:11.000 --> 01:15:22.000]  So every little piece of the algorithm, every little spare at the end is going to come together to create the whole solution.
[01:15:23.000 --> 01:15:28.000]  So it is important that before you actually start trying to code,
[01:15:28.000 --> 01:15:37.000]  you go through the process of, okay, understand what the small task is, what the requirements are going to be, and then write your code.
[01:15:37.000 --> 01:15:46.000]  It is important when you are developing the algorithm and writing your code that you want to make your code reusable.
[01:15:46.000 --> 01:15:55.000]  So you don't have repetitions when you're developing your code that will help you solve the problem.
[01:15:55.000 --> 01:15:57.000]  Okay.
[01:15:57.000 --> 01:16:05.000]  Yeah, and one of the benefits of making a pseudo code algorithm is basically to maintain a technical document,
[01:16:05.000 --> 01:16:13.000]  which could be helpful to those who may in future be troubleshooting the program that you have created.
[01:16:13.000 --> 01:16:23.000]  Like as Martin said in the beginning that when you work in a software firm, it's not a stand alone, you know, it's not a stand alone responsibility.
[01:16:23.000 --> 01:16:29.000]  You work as a team, right, and when you work as a team, then your work should also be understood by the others in the team because it's a collaborative work.
[01:16:29.000 --> 01:16:34.000]  Your ultimate objective is one, but then different people are working on meeting that objective.
[01:16:34.000 --> 01:16:42.000]  Now, if you have just written a code for a certain module and shared with your team members, they may not be able to understand it because the coding is very complex.
[01:16:42.000 --> 01:16:52.000]  And that is the time when the technical documentation is made so that you write in simple, simple, simple English language steps that how my program is working.
[01:16:52.000 --> 01:17:00.000]  Now, if somebody reads that, they will easily understand and then when they look at the code, they will be able to make a meaning out of how the coding has been done, right.
[01:17:00.000 --> 01:17:02.000]  So algorithm is very.
[01:17:02.000 --> 01:17:03.000]  Yeah.
[01:17:03.000 --> 01:17:12.000]  And that I was going to say is that that that goes together with being able to document and make comments on the actual code.
[01:17:12.000 --> 01:17:13.000]  Right.
[01:17:13.000 --> 01:17:25.000]  You don't want to maybe repeat the same thing of the technical document, but you you want to get in clear information and that will allow anybody to read your code.
[01:17:25.000 --> 01:17:35.000]  And if it needs to be updated or do some changes, they can actually do it without breaking down the logic of the whole algorithm.
[01:17:35.000 --> 01:17:42.000]  And it's not necessary that the person who is going to code is actually the ones who write the pseudo code, you know, it can be two different people.
[01:17:42.000 --> 01:17:45.000]  So there may be a group of software developers in a company.
[01:17:45.000 --> 01:17:50.000]  So my role is supposed just to go and understand what does the company requires, what are the requirements.
[01:17:50.000 --> 01:17:55.000]  And then I break that into many different steps as to this is how the program should flow.
[01:17:55.000 --> 01:18:02.000]  And then I handed over to the developer and developer will read my inputs and they will develop the software, right.
[01:18:02.000 --> 01:18:07.000]  Now suppose the developer leaves after a while and there's another person who joins in and there's a bug in the program.
[01:18:07.000 --> 01:18:14.000]  Now, it will be very difficult for them to go into the program, which may be of 50,000 lines to identify the bug, especially if it is a logic.
[01:18:14.000 --> 01:18:26.000]  It's very difficult to find out. So what they will do is before looking into the code, they will go into the technical documentation and read the algorithm as to how each part of the program is working.
[01:18:26.000 --> 01:18:35.000]  And once they have developed the knowledge from reading the algorithm, then they will go to the code, find that particular module and make the changes to make it work and correct the logical issues.
[01:18:35.000 --> 01:18:53.000]  So the whole objective is algorithms is to make a program creation simplified so that once the steps are clear, then it can be given to the team of developers who are developing to follow the set pseudo code process and just coded in any programming language that is to be coded.
[01:18:53.000 --> 01:19:06.000]  They're also helpful. For example, these are let's say there's a company which releases its application in for Mac operating system as well as for windows or let's say for Android and iOS.
[01:19:06.000 --> 01:19:20.000]  Now, the same code cannot be used in both the platforms, right. So once the pseudo code is created, then that is given to the developer who is iOS expert and the other coder who is Android expert.
[01:19:20.000 --> 01:19:32.000]  And they both follow the same pseudo code in order to develop the application using the programming, which is supported by each of the mobile phone, right. Now, how is this going to be helpful for you from the examinations point of view.
[01:19:32.000 --> 01:19:42.000]  So from examinations point of view, it is not going to be any help because there is no pseudo code in your assessments, unlike the previous curriculum where there was pseudo code tested as a part of paper one.
[01:19:42.000 --> 01:19:50.000]  However, we will be focusing on pseudo code because we want you to develop good problem solving skills, right.
[01:19:50.000 --> 01:19:56.000]  We don't want you to be jumping directly on the coding. We want you to think about a problem, think about the possible solution.
[01:19:56.000 --> 01:20:03.000]  And if you can write down the solution on the paper as to how you would solve it on a paper, then you can easily code it.
[01:20:03.000 --> 01:20:12.000]  But the vice versa is not true. Many students directly jump onto the programming language and they try to write the code directly without thinking about the solution. They always struggle.
[01:20:12.000 --> 01:20:21.000]  So I always recommend that when a problem is given, think about that if you had to do it on a piece of paper, how you would have what approach you would have followed, right.
[01:20:21.000 --> 01:20:32.000]  Once you are clear with that, then you have to replicate on the programming. So when we'll start with the programming, we will follow this approach of first thinking about the solution on a paper and then write it as a code.
[01:20:33.000 --> 01:20:42.000]  Now, what is the real word example? Think of a recipe. It gives exact ingredients order of steps and expected outcomes.
[01:20:42.000 --> 01:20:54.000]  If you skip steps or do them in wrong order, the dish may fail. That's the same with algorithms. The order matters. So that's the keyword, right. So the order matters.
[01:20:55.000 --> 01:21:07.000]  Correct. We could have done a small activity, asking you some steps for a certain problem. Let's see in the end if we get some time we can do that.
[01:21:07.000 --> 01:21:12.000]  The third stage is decomposition, right. Does anyone know what decomposition means?
[01:21:13.000 --> 01:21:17.000]  It's breaking down the task into smaller segments.
[01:21:17.000 --> 01:21:26.000]  And what is the benefit? Can you give any real word example? What do you mean by breaking down, not from the coding point of view, any other example?
[01:21:26.000 --> 01:21:29.000]  So preparing for a party.
[01:21:29.000 --> 01:21:39.000]  So the whole, I mean the overall objective is to host a party or to organize a party, right.
[01:21:39.000 --> 01:21:45.000]  Now, how would you decompose that into different parts to make it more manageable steps?
[01:21:45.000 --> 01:21:48.000]  So choosing a location.
[01:21:48.000 --> 01:21:55.000]  Perfect. So one is choosing a location, right. Because that in itself is a full task that you have to find a location.
[01:21:56.000 --> 01:22:02.000]  Now, again, within finding a location also, it's not that just you will find a location and go there.
[01:22:02.000 --> 01:22:07.000]  There also the problem specification will come into picture. Like how many people are going to attend?
[01:22:07.000 --> 01:22:14.000]  What is the menu that is provided? How many seating arrangement is there? Right. Is there music available?
[01:22:14.000 --> 01:22:22.000]  So it's not that choosing location in itself. It's a complete solution. You have to, if you're a developer, you have to go into further depth.
[01:22:22.000 --> 01:22:27.000]  You're just branching the flow. So the on the top of the hierarchy, you have the party.
[01:22:27.000 --> 01:22:33.000]  Then on the left, you have taken location. Now location will be subdivided into many different options. Right.
[01:22:33.000 --> 01:22:41.000]  And if you are clear with that hierarchical chart, you will have less chances of developing a product where the client will say that,
[01:22:41.000 --> 01:22:48.000]  Oh, my product is not working fine. You have missed certain aspects. What's the other factor in the composition?
[01:22:49.000 --> 01:22:55.000]  So estimating the number of estimating estimating the number of people, right.
[01:22:55.000 --> 01:23:03.000]  And within that, you will have many different factors like budgeting, right. Budgeting the time schedule, the day of the party when it is going to be,
[01:23:03.000 --> 01:23:09.000]  because the people's arrival would largely depend on what date, what time you are doing the party. Right.
[01:23:09.000 --> 01:23:15.000]  How far is the location? So that all will have to be considered before you float the invitation. Right.
[01:23:15.000 --> 01:23:32.000]  Next. Next is designing, designing invitation. That in itself is again, a full module. Right.
[01:23:32.000 --> 01:23:39.000]  Are you going to do e invitation? Are you going to print them and send them by postal services? Right.
[01:23:39.000 --> 01:23:49.000]  So that in itself will also require further, but yes, as a part of decomposition, you identified three different major parts and then you send the invitation. Right.
[01:23:49.000 --> 01:23:54.000]  So now what is the benefit of doing this? I want somebody else to pitch in.
[01:23:54.000 --> 01:24:00.000]  What is the benefit of the decomposition that Namo just now mentioned?
[01:24:00.000 --> 01:24:10.000]  It makes the task more easy to comprehend. It makes splitting up the task easier.
[01:24:10.000 --> 01:24:21.000]  Okay. Okay. Fine. Is this riddle? No. Sorry, I can't see you. Okay.
[01:24:21.000 --> 01:24:30.000]  So see, one thing that I would like to point over here is your answer is perfectly fine that it makes task organized and more easier.
[01:24:30.000 --> 01:24:34.000]  But then these are considered to be very generic answer from the assessment's point of view.
[01:24:34.000 --> 01:24:40.000]  For any question where you are saying it is very easy, very organized, very economical.
[01:24:40.000 --> 01:24:47.000]  You have to give a justification to that. You have to give a reason for that. So when you say it becomes it makes the task more easier.
[01:24:47.000 --> 01:24:58.000]  If you stop there, you get nothing. No credits. But if you have to just then you have to justify that. Why do you say that it makes task achievable and more easier? Why do you think it will make it easier?
[01:24:58.000 --> 01:25:21.000]  In this case, in this case, you could, for example, decompose the problem into several multiple parts, obtain a budget from each and then a lot, I cash them to that.
[01:25:21.000 --> 01:25:35.000]  So that will benefit of decomposing. It would also help you create a timeframe by making sure that all decomposed parts are able to be completed within a certain timeframe.
[01:25:35.000 --> 01:25:50.000]  So, for example, if you're booking a building or something, if that lease is not available until a month later, you will have to postpone it. So why do you post it all other factors?
[01:25:50.000 --> 01:26:01.000]  So this is a very good justification, but this is not a justification to that it will task make task easier, but it is a justification for saying that it will make task more organized.
[01:26:01.000 --> 01:26:11.000]  So if you say it will take task more achievable and more organized because and then whatever you said will be able to justify.
[01:26:11.000 --> 01:26:20.000]  Correct. Right. So whenever you're giving a justification for any point, just don't leave it onto the identification level.
[01:26:20.000 --> 01:26:30.000]  At least give one pointer that why do you think it says so and this goes not just for this task, but it goes for all the tasks that you will be getting in paper one and paper two.
[01:26:30.000 --> 01:26:38.000]  Right. Students lose marks when they just restrict the answers to saying that it will be like what is the benefit of RAM.
[01:26:38.000 --> 01:26:43.000]  It will make the processing faster, which is not wrong, but it doesn't get you any credit.
[01:26:43.000 --> 01:26:49.000]  Unless you say that why will it make the task execution faster, you will not get the score.
[01:26:49.000 --> 01:26:57.000]  Right. What is the benefit of our outer over the look over the pulling up of cables, LAN cables, it will be more economical.
[01:26:57.000 --> 01:27:03.000]  You get nothing even though it is correct answer that it will make it more economical. Why do you think it will make it more economical.
[01:27:03.000 --> 01:27:14.000]  So make it a habit that whenever you're answering any question, you must give a reason for why you think it is so without that reason, you don't get any score.
[01:27:14.000 --> 01:27:18.000]  They will just put a stamp of two vague. It is a stamp called TV.
[01:27:18.000 --> 01:27:28.000]  And we love using that because we don't have to write much comments. So I just put it pick up TV and post it on your response that it's two vague in the assessment and you get zero for that.
[01:27:28.000 --> 01:27:34.000]  So make it a habit of giving a specification of what you say, right.
[01:27:34.000 --> 01:27:44.000]  Okay. Now, so decomposition definitely makes tasks more achievable, more organized because you have you are splitting the larger plan into multiple sub parts.
[01:27:44.000 --> 01:27:50.000]  And then one of the best benefits of doing this is collaboration.
[01:27:50.000 --> 01:27:55.000]  Right. Like as we said in the beginning that when you are working in a software company, you don't do everything alone.
[01:27:55.000 --> 01:28:01.000]  It's a team of work. It's a team of people who actually work with a common objective in mind.
[01:28:01.000 --> 01:28:09.000]  So you may be given, for example, NAMU said that one of the tasks in decomposition would be designing of invitation cards.
[01:28:09.000 --> 01:28:15.000]  So let's say there is somebody who is good with designing in your team. You will allocate that task to that person.
[01:28:15.000 --> 01:28:21.000]  There is somebody who is good with negotiations. Right. So let's say NAMU is good with negotiations.
[01:28:21.000 --> 01:28:28.000]  So he will take the job of going to the location and then negotiating with the facility to get the best prizes.
[01:28:28.000 --> 01:28:33.000]  There could be another one who may be good with music and sound.
[01:28:33.000 --> 01:28:40.000]  So they may plan the song list. They may plan the kind of sound system that is going to be installed and all that.
[01:28:40.000 --> 01:28:44.000]  So that collectively, you know, everybody is doing your own part.
[01:28:44.000 --> 01:28:49.000]  And on the final day, everything would look more organized and more achievable.
[01:28:49.000 --> 01:28:56.000]  So it will lead to less chaos as compared to one person dealing with everything.
[01:28:56.000 --> 01:29:00.000]  So here are some examples. For example, stage setup.
[01:29:00.000 --> 01:29:04.000]  If your goal is to organize a school festival, you might split it into smaller tasks.
[01:29:04.000 --> 01:29:08.000]  Somebody make it take up stage setup. Somebody may take food stalls.
[01:29:08.000 --> 01:29:12.000]  Someone may take ticket management. Somebody may take security.
[01:29:12.000 --> 01:29:17.000]  And then within each major decomposition steps, you can have subcommittees.
[01:29:17.000 --> 01:29:24.000]  Like for example, in food stalls, there may be one who may be going to the market to bring the ingredients.
[01:29:24.000 --> 01:29:30.000]  There would be another who will calculate how many people are coming and how much quantity would be required.
[01:29:30.000 --> 01:29:36.000]  There would be the third subcommittee member who would actually be cooking the food on the day of party.
[01:29:36.000 --> 01:29:43.000]  So these are the major decompositions and within decompositions, you can have further decompositions.
[01:29:43.000 --> 01:29:48.000]  So top hierarchy, sub hierarchy, subsection and sub subsections.
[01:29:48.000 --> 01:29:52.000]  So this is how the tree is created for a more organized way.
[01:29:52.000 --> 01:29:58.000]  Now this is very important from the programming point of view from whether you're developing a small project or large project.
[01:29:58.000 --> 01:30:04.000]  Decomposition plays a very major role. For example, let's say you're working in a team which is developing an operating system.
[01:30:04.000 --> 01:30:10.000]  Now operating system is not just bringing system into the working condition, but it has a lot of inbuilt features also.
[01:30:10.000 --> 01:30:17.000]  For example, you have calculators, you have a small word processor, which is embedded into the operating system.
[01:30:17.000 --> 01:30:21.000]  It has many different features, right? So every person will be given one task.
[01:30:21.000 --> 01:30:29.000]  And then when everybody has done, then the team leader of that project or the project manager will compile them together to make it a single product.
[01:30:29.000 --> 01:30:33.000]  So decomposition is very important in that way.
[01:30:33.000 --> 01:30:36.000]  You see here why it matters because it enables collaboration.
[01:30:36.000 --> 01:30:41.000]  Different programmers can work on different modules, makes debugging and testing easier.
[01:30:41.000 --> 01:30:45.000]  Why do you think it will make debugging and testing easier?
[01:30:45.000 --> 01:30:57.000]  Now we are talking from the programming point of view. Why do you think that if you have decomposed the problem, it will make debugging and testing easier?
[01:30:57.000 --> 01:31:01.000]  Because you know which part to focus on.
[01:31:01.000 --> 01:31:03.000]  Yes, many small parts.
[01:31:03.000 --> 01:31:11.000]  Yeah, absolutely. So if you're working on the calculator module, you would only be looking at the calculator modules, logical or syntax errors.
[01:31:11.000 --> 01:31:17.000]  If somebody else is working on finance part, you have nothing to do with that because that is their responsibility.
[01:31:17.000 --> 01:31:21.000]  So you're looking at the smaller area, which is completely developed by you.
[01:31:21.000 --> 01:31:27.000]  And you will have a better understanding of why the bugs are appearing and how to rectify them.
[01:31:27.000 --> 01:31:31.000]  Encourage reusability modules can be used in other projects.
[01:31:31.000 --> 01:31:34.000]  So let's say you created a calculator as a part of your current project.
[01:31:34.000 --> 01:31:38.000]  And there's another app that you're developing and you want to reuse that calculator feature.
[01:31:38.000 --> 01:31:46.000]  You don't have to recreate the whole thing. You can just import that as a package in your new project and use that feature.
[01:31:46.000 --> 01:31:50.000]  So these are the benefits of decomposition.
[01:31:50.000 --> 01:31:54.000]  Common misconception decomposition is about breaking down the problem, not the program.
[01:31:54.000 --> 01:31:58.000]  You apply decomposition before coding during the planning phase.
[01:31:58.000 --> 01:32:04.000]  Right. So decomposition is not breaking the program. It's breaking the problem.
[01:32:04.000 --> 01:32:07.000]  So your problem was to organize a school event.
[01:32:07.000 --> 01:32:11.000]  And then you decomposed it at the planning stage.
[01:32:11.000 --> 01:32:15.000]  It's not that, okay, this is my problem. There are 10,000 lines.
[01:32:15.000 --> 01:32:19.000]  You take first 2500. I will take next 2500 and then we will compile it together.
[01:32:19.000 --> 01:32:27.000]  That is not decomposition decomposition is slippage splitting the bigger problem into smaller areas.
[01:32:27.000 --> 01:32:30.000]  And then comes the last one pattern recognition.
[01:32:30.000 --> 01:32:35.000]  What is pattern recognition?
[01:32:35.000 --> 01:32:41.000]  Girls are quite today.
[01:32:41.000 --> 01:32:46.000]  Where are the girls quite today?
[01:32:46.000 --> 01:32:51.000]  Come on. We want girls to be tech savvy.
[01:32:51.000 --> 01:33:03.000]  Well, pattern recognition is basically the identification of the recurring similarities within the code or within the overall task.
[01:33:03.000 --> 01:33:06.000]  So we can.
[01:33:06.000 --> 01:33:12.000]  It's also the identification perhaps of trans some regularities.
[01:33:12.000 --> 01:33:23.000]  We can create a generalized solution that can be applied to different scenarios that have similar patterns follow similar patterns.
[01:33:23.000 --> 01:33:31.000]  Absolutely. So when you start working on the coding, you will often see that there are some few things which are repeated in almost generally every program.
[01:33:31.000 --> 01:33:33.000]  And that is called pattern.
[01:33:33.000 --> 01:33:36.000]  The same pattern is repeated in many different programs.
[01:33:36.000 --> 01:33:40.000]  So instead of recreating the solution again and again, I mean it.
[01:33:40.000 --> 01:33:43.000]  This is overlap between modularity.
[01:33:43.000 --> 01:33:50.000]  There's a little overlap between what we studied here that decomposition because that is also breaking down the problem.
[01:33:50.000 --> 01:34:02.000]  But pattern recognition is slightly different that it's not exactly decomposition, but it's finding a kind of repeated occurrence of some aspects, which may be common in program after program.
[01:34:02.000 --> 01:34:08.000]  For example, when you create any windows based GUI application, you will always see some of the things repeating.
[01:34:08.000 --> 01:34:09.000]  So that's a pattern.
[01:34:09.000 --> 01:34:13.000]  For example, everywhere you will have this green symbol with full screen button.
[01:34:13.000 --> 01:34:16.000]  Then there's minimize maximize and there's a cross button.
[01:34:16.000 --> 01:34:17.000]  Right.
[01:34:17.000 --> 01:34:19.000]  There's a gray area on the top.
[01:34:19.000 --> 01:34:21.000]  There's a scroll bar on the left.
[01:34:21.000 --> 01:34:24.000]  Right. That is a pattern which repeats program after program.
[01:34:24.000 --> 01:34:31.000]  So even if it is not a decomposition, it is something which you find in almost every program and that is what is called a pattern.
[01:34:31.000 --> 01:34:38.000]  So the benefit of pattern in programming is to save your time because you don't have to recreate everything that you have already done.
[01:34:38.000 --> 01:34:44.000]  So it is ability to identify recurring trends, similarities or structures in data or problems.
[01:34:44.000 --> 01:34:47.000]  By recognizing these patterns, we can reuse solutions.
[01:34:47.000 --> 01:34:48.000]  Right.
[01:34:48.000 --> 01:34:54.000]  So instead of redesigning or recording the whole GUI application, you can create one generic.
[01:34:55.000 --> 01:35:01.000]  Module, which is able to give you the windows kind of GUI application.
[01:35:01.000 --> 01:35:05.000]  And then based on the requirements of the app, then you can customize rest of the things.
[01:35:05.000 --> 01:35:10.000]  But the overall structure can be copied from the previous project to the new project.
[01:35:10.000 --> 01:35:14.000]  When you recognize that the root to school takes longer on rainy days.
[01:35:14.000 --> 01:35:19.000]  Right. Try to understand what the pattern recognition is here.
[01:35:19.000 --> 01:35:26.000]  When you recognize that the root to your school takes longer on rainy days, you adjust your departure time.
[01:35:26.000 --> 01:35:31.000]  Thus pattern recognition, identifying the relationship between weather and travel time.
[01:35:31.000 --> 01:35:33.000]  Which is self-explanatory. Right.
[01:35:33.000 --> 01:35:37.000]  So you may be taking 20 minutes to go to your school on a normal day.
[01:35:37.000 --> 01:35:41.000]  But you realize that when it starts raining, it takes you 10 minutes more.
[01:35:41.000 --> 01:35:47.000]  So next time when it rains, you ask your driver to start 30 minutes early because I mean 10 minutes early.
[01:35:47.000 --> 01:35:49.000]  So that you spend 30 minutes in travel time.
[01:35:49.000 --> 01:35:51.000]  That is a pattern.
[01:35:51.000 --> 01:36:01.000]  And the benefit benefit of such recognition is that you don't end up losing anything because you already are prepared to take care of the pattern that you recognized.
[01:36:01.000 --> 01:36:09.000]  Example in computing, when programmers notice that several problems follow a similar logic like sorting, searching or counting, they can reuse.
[01:36:09.000 --> 01:36:13.000]  The tested code instead of starting from scratch.
[01:36:13.000 --> 01:36:22.000]  Right. So in many applications like if you're making a database management system, you would need to arrange the data in ascending or descending order of some unique value.
[01:36:22.000 --> 01:36:25.000]  Now, why do you want to write the code again in that case?
[01:36:25.000 --> 01:36:28.000]  You have already written other database programs where you have sorted them.
[01:36:28.000 --> 01:36:33.000]  So you reuse that because that is something which is a pattern in almost every database programs.
[01:36:33.000 --> 01:36:45.000]  So by the virtue of use of pattern recognitions, what you are able to do is data analysis, sporting customer trends.
[01:36:45.000 --> 01:36:54.000]  Right. Now, if you look at if you look at the websites, for example, any kind of according to the category.
[01:36:54.000 --> 01:36:58.000]  So let's talk about any airline booking system.
[01:36:58.000 --> 01:37:01.000]  Okay. So let's say trip.com.
[01:37:01.000 --> 01:37:06.000]  Or if you look at other websites, for example, let's say a go to a.com.
[01:37:06.000 --> 01:37:15.000]  You will see a pattern being repeated and that pattern is basically if you select flight, it asks you from which city to which city and then there's a date of travel.
[01:37:15.000 --> 01:37:18.000]  How many people have to travel? Right.
[01:37:18.000 --> 01:37:23.000]  Now, if you look at the other website, that will also technically have the same inputs.
[01:37:23.000 --> 01:37:33.000]  So if you select flights, it will ask you from which country or which city to which city. Right.
[01:37:33.000 --> 01:37:38.000]  So here you say flying from flying to departure date and passenger.
[01:37:38.000 --> 01:37:41.000]  This is called pattern recognition.
[01:37:41.000 --> 01:37:50.000]  So if you happen to develop a website of your own rather than reinventing the wheel, you will look at what other websites have done.
[01:37:50.000 --> 01:38:00.000]  Right. And accordingly, you will fill your information here and you will get the same pretty much similar output as otherwise websites are giving that is pattern recognition.
[01:38:00.000 --> 01:38:13.000]  And then you can have some additional fields depending on what other features you want to have in your product in addition to the commonly used features that are already being identified by other developers.
[01:38:13.000 --> 01:38:19.000]  And this is what software developers do when they are given a project of a particular nature.
[01:38:19.000 --> 01:38:30.000]  They look at the competitors as to how they have developed what all features they have put into their website and then they try to make something better taking into account all those things which are already there.
[01:38:30.000 --> 01:38:40.000]  So they will copy everything in their own way and then they will try to add more features to make it more interactive or more useful for the customers.
[01:38:40.000 --> 01:38:47.000]  And that is possible because of the pattern recognition. Right.
[01:38:47.000 --> 01:38:56.000]  So these are the four essential parts of computational thinking process and you may have some cherry questions of two to four marks.
[01:38:56.000 --> 01:39:07.000]  They may ask you any specific computational thinking stage or approach and ask you to explain what it means and what are the applications of them.
[01:39:07.000 --> 01:39:15.000]  Okay. Any questions from this part before we move to the flow charts.
[01:39:15.000 --> 01:39:29.000]  Do you have any questions? No. Okay. So let's get on this lesson and then we'll talk a little bit about the IA back again and also the installation.
[01:39:29.000 --> 01:39:33.000]  Whether you have been able to do the installation of Java on your computers or not.
[01:39:33.000 --> 01:39:39.000]  So how many of you know what flow charts are?
[01:39:39.000 --> 01:39:44.000]  What is the flow chart? Okay. Software knows.
[01:39:44.000 --> 01:39:50.000]  It's like a diagram to represent an algorithm.
[01:39:50.000 --> 01:39:55.000]  Okay. It's a graphical representation of the algorithm in use.
[01:39:55.000 --> 01:40:00.000]  It's a graphical or pictorial representation of the algorithm of a program.
[01:40:00.000 --> 01:40:06.000]  Now algorithms are step by step process, which is written in simple English language,
[01:40:06.000 --> 01:40:12.000]  which may not necessarily give you a true picture of how the control is flowing from one part of the program to another.
[01:40:12.000 --> 01:40:18.000]  Right. And to elaborate or to simplify the program writing process better.
[01:40:18.000 --> 01:40:26.000]  The technical team also develops a pictorial representation of the flow of control and that is what is called a flow chart.
[01:40:26.000 --> 01:40:32.000]  Right. So flow chart is nothing, but it's a pictorial representation of the algorithm that you have written.
[01:40:32.000 --> 01:40:38.000]  The first step is algorithm, second step is flow charts and the third step is writing the programs.
[01:40:38.000 --> 01:40:46.000]  So let's have a look at I mean for those one new you may have to do a little bit of additional reading with regard to what the flow charts are.
[01:40:46.000 --> 01:40:50.000]  So let's have a look at this.
[01:40:50.000 --> 01:40:53.000]  A flow chart is simply a graphical representation of steps.
[01:40:53.000 --> 01:41:01.000]  It shows steps in sequential order and is widely used in presenting the flow of algorithms work flow or processes.
[01:41:01.000 --> 01:41:09.000]  Typically a flow chart shows the steps as boxes of various kinds and their order by connecting them with arrows.
[01:41:09.000 --> 01:41:13.000]  Right. Let's have a look at one small example.
[01:41:13.000 --> 01:41:17.000]  But before that there are certain symbols which are used in a flow chart.
[01:41:17.000 --> 01:41:20.000]  This may be useful for the first timers who have never studied flow charts.
[01:41:20.000 --> 01:41:23.000]  And I know we have we have quite a few who have never done it before.
[01:41:23.000 --> 01:41:27.000]  Now there are certain symbols which are used in a flow chart in order to show the algorithm.
[01:41:27.000 --> 01:41:35.000]  The first one is this one which is called the start and stop.
[01:41:35.000 --> 01:41:43.000]  So this one the oval shape boxed or symbol the terminate symbol represents the starting or ending point of the program.
[01:41:43.000 --> 01:41:52.000]  So wherever you start you start with this oval and you end it also with the oval and you write within this start and then in the end you write end or stop.
[01:41:52.000 --> 01:42:11.000]  Then the process box any kind of process for example assigning a value in a variable like if you have to say X equals 10 or any kind of mathematical calculation that you are doing for example X equals a plus B plus C that is all done in this rectangular box.
[01:42:11.000 --> 01:42:16.000]  So any kind of process which generally has an equal to sign in it.
[01:42:16.000 --> 01:42:24.000]  So if there is an equal to sign that means you are doing some process that is typically used in the rectangular blocks.
[01:42:24.000 --> 01:42:29.000]  The third one is we are not going to use this one.
[01:42:29.000 --> 01:42:32.000]  This is not the one that we are going to use right now.
[01:42:32.000 --> 01:42:38.000]  Next one is decision box. So decision box is used to make a certain decision in your program.
[01:42:38.000 --> 01:42:48.000]  Like for example is it raining if you have a question is it raining I will start 30 10 minutes early if no I will start on our regular time.
[01:42:48.000 --> 01:42:55.000]  So whenever you have to make a decision between two given options then we use this decision box in the flow chart.
[01:42:55.000 --> 01:43:01.000]  So we write the decision here is it raining yes or no so it will branch to two different options.
